"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0",-0.0085,110,"0.6","N4",0.039,0.042,0.0438463799238825,-0.00484637992388252,-0.00184637992388251
"0",-4e-04,110,"0.8","N4",0.032,0.065,0.0496957391900033,-0.0176957391900033,0.0153042608099968
"0.3",0.2897,20,"0","N4",0.244,0.039,0.228131072094484,0.0158689279055156,-0.189131072094484
"0.3",0.2915,20,"0.2","N4",0.254,0.159,0.229824324299035,0.024175675700965,-0.070824324299035
"0.3",0.2891,20,"0.4","N4",0.244,0.174,0.227568216871009,0.0164317831289911,-0.0535682168710089
"0.3",0.3006,20,"0.6","N4",0.278,0.154,0.238491464337165,0.0395085356628346,-0.0844914643371654
"0.3",0.2972,20,"0.8","N4",0.173,0.131,0.235232427520239,-0.0622324275202394,-0.104232427520239
"0.3",0.295,50,"0","N4",0.572,0.11,0.428559497338362,0.143440502661638,-0.318559497338362
"0.3",0.3081,50,"0.2","N4",0.573,0.396,0.454223681282026,0.118776318717974,-0.0582236812820259
"0.3",0.3134,50,"0.4","N4",0.575,0.332,0.464667690769716,0.110332309230284,-0.132667690769716
"0.3",0.3004,50,"0.6","N4",0.492,0.306,0.439108427089187,0.0528915729108134,-0.133108427089187
"0.3",0.2954,50,"0.8","N4",0.374,0.248,0.429339247762957,-0.0553392477629566,-0.181339247762957
"0.3",0.3049,80,"0","N4",0.809,0.192,0.608432959346835,0.200567040653165,-0.416432959346835
"0.3",0.2967,80,"0.2","N4",0.785,0.48,0.588465245193253,0.196534754806747,-0.108465245193253
"0.3",0.2998,80,"0.4","N4",0.742,0.419,0.596044010756631,0.145955989243369,-0.177044010756632
"0.3",0.3022,80,"0.6","N4",0.702,0.4,0.601886936070803,0.100113063929197,-0.201886936070803
"0.3",0.2949,80,"0.8","N4",0.545,0.342,0.584049280084999,-0.0390492800849985,-0.242049280084999
"0.3",0.2875,110,"0","N4",0.939,0.204,0.684627985900704,0.254372014099296,-0.480627985900704
"0.3",0.2952,110,"0.2","N4",0.896,0.503,0.70457570926366,0.19142429073634,-0.20157570926366
"0.3",0.3004,110,"0.4","N4",0.858,0.482,0.717709584505483,0.140290415494516,-0.235709584505484
"0.3",0.2903,110,"0.6","N4",0.797,0.434,0.691948340989991,0.105051659010009,-0.257948340989991
"0.3",0.2938,110,"0.8","N4",0.689,0.434,0.700992225888749,-0.0119922258887494,-0.266992225888749
"0.5",0.4774,20,"0","N4",0.599,0.09,0.435607887340286,0.163392112659714,-0.345607887340286
"0.5",0.4896,20,"0.2","N4",0.597,0.329,0.45056640740693,0.14643359259307,-0.12156640740693
"0.5",0.4841,20,"0.4","N4",0.558,0.364,0.443812830145825,0.114187169854175,-0.0798128301458246
"0.5",0.4765,20,"0.6","N4",0.559,0.323,0.434507756283462,0.124492243716538,-0.111507756283462
"0.5",0.4695,20,"0.8","N4",0.387,0.243,0.425969100240711,-0.0389691002407107,-0.182969100240711
"0.5",0.4741,50,"0","N4",0.969,0.209,0.76090924023949,0.20809075976051,-0.55190924023949
"0.5",0.4824,50,"0.2","N4",0.941,0.516,0.773505448100628,0.167494551899372,-0.257505448100628
"0.5",0.4927,50,"0.4","N4",0.925,0.486,0.788602587294825,0.136397412705175,-0.302602587294825
"0.5",0.4894,50,"0.6","N4",0.878,0.466,0.783830967304746,0.0941690326952537,-0.317830967304746
"0.5",0.4846,50,"0.8","N4",0.801,0.431,0.776780269089579,0.024219730910421,-0.345780269089579
"0.5",0.4832,80,"0","N4",1,0.291,0.9189503527912,0.0810496472087998,-0.6279503527912
"0.5",0.4899,80,"0.2","N4",0.995,0.516,0.925099879409147,0.0699001205908527,-0.409099879409147
"0.5",0.4832,80,"0.4","N4",0.985,0.473,0.9189503527912,0.0660496472087998,-0.4459503527912
"0.5",0.4797,80,"0.6","N4",0.977,0.495,0.915590033791983,0.0614099662080173,-0.420590033791983
